Barcode,Bio Sample
bc1005--bc1033,1-8_1
bc1007--bc1033,1-9_1
bc1008--bc1033,1-10_1
bc1012--bc1033,1-11_1
bc1015--bc1033,1-12_1
bc1020--bc1033,a1-0
bc1022--bc1033,b1-0
bc1024--bc1033,1-s0
bc1005--bc1035,1-8_2
bc1007--bc1035,1-9_2
bc1008--bc1035,1-10_2
bc1012--bc1035,1-11_2
bc1015--bc1035,1-12_2
bc1020--bc1035,a1-3
bc1022--bc1035,b1-3
bc1024--bc1035,1-s3
bc1005--bc1044,1-8_3
bc1007--bc1044,1-9_3
bc1008--bc1044,1-10_3
bc1012--bc1044,1-11_3
bc1015--bc1044,1-12_3
bc1020--bc1044,a2-0
bc1022--bc1044,b2-0
bc1024--bc1044,eb-2
bc1005--bc1045,1-8_4
bc1007--bc1045,1-9_4
bc1008--bc1045,1-10_4
bc1012--bc1045,1-11_4
bc1015--bc1045,1-12_4
bc1020--bc1045,a2-3
bc1022--bc1045,b2-3
bc1005--bc1054,1-8_5
bc1007--bc1054,1-9_5
bc1008--bc1054,1-10_5
bc1012--bc1054,1-11_5
bc1015--bc1054,1-12_5
bc1020--bc1054,a3-0
bc1022--bc1054,b3-0
bc1005--bc1056,1-8_6
bc1007--bc1056,1-9_6
bc1008--bc1056,1-10_6
bc1012--bc1056,1-11_6
bc1015--bc1056,1-12_6
bc1020--bc1056,a3-3
bc1022--bc1056,b3-3
bc1005--bc1057,1-8_7
bc1007--bc1057,1-9_7
bc1008--bc1057,1-10_7
bc1012--bc1057,1-11_7
bc1015--bc1057,1-12_7
bc1005--bc1059,1-8_8
bc1007--bc1059,1-9_8
bc1008--bc1059,1-10_8
bc1012--bc1059,1-11_8
bc1015--bc1059,1-12_8
bc1005--bc1060,1-8_9
bc1007--bc1060,1-9_9
bc1008--bc1060,1-10_9
bc1015--bc1060,1-12_9
bc1007--bc1062,1-9_10
bc1008--bc1062,1-10_10
bc1015--bc1062,1-12_10
