Sample Name,Barcode,Barcode Quality,HiFi Reads,"HiFi Read Length (mean, bp)","HiFi Read Quality (median, QV)",HiFi Yield (bp)
3-8_1,bc1005--bc1033,99.62932790224032,1473,1528,Q44,2251847
3-8_2,bc1005--bc1035,99.39019572634226,5569,1527,Q60,8509259
3-8_3,bc1005--bc1044,99.42129008657481,8201,1527,Q50,12523988
3-8_4,bc1005--bc1045,99.50594732370433,2354,1529,Q60,3599930
3-8_5,bc1005--bc1054,99.56294576214961,6029,1528,Q60,9212808
3-8_6,bc1005--bc1056,99.61665646050214,1633,1644,Q46,2685404
3-8_7,bc1005--bc1057,98.0,8,1696,Q42,13575
3-8_8,bc1005--bc1059,99.71357779980178,1009,1527,Q51,1541161
3-8_9,bc1005--bc1060,99.68967921896792,2868,1526,Q60,4377375
3a-0,bc1005--bc1065,99.24347174657534,9344,1687,Q60,15771219
3b-0,bc1005--bc1075,99.68482889977957,46727,1504,Q60,70288205
3-9_1,bc1007--bc1033,99.53998865570051,1763,1525,Q45,2690207
3-9_2,bc1007--bc1035,99.35875331564986,1508,1527,Q44,2303563
3-9_3,bc1007--bc1044,99.40270183338694,6218,1524,Q48,9478850
3-9_4,bc1007--bc1045,99.6228150873965,4348,1524,Q47,6628031
3-9_5,bc1007--bc1054,99.58054327226785,1583,1525,Q50,2414889
3-9_6,bc1007--bc1056,99.60178072625699,5728,1554,Q60,8901449
3-9_7,bc1007--bc1057,99.59078267779103,2517,1527,Q55,3843521
3-9_8,bc1007--bc1059,99.67129162462159,3964,1525,Q60,6047229
3-9_9,bc1007--bc1060,99.71648351648352,4550,1523,Q44,6930894
3-9_10,bc1007--bc1062,99.6669384427232,2453,1524,Q53,3738583
3a-3,bc1007--bc1065,99.65314506475133,36756,1544,Q60,56755654
3b-3,bc1007--bc1075,99.6824558756977,6629,1499,Q60,9942701
3-10_1,bc1008--bc1033,99.5648049330013,8433,1529,Q57,12897755
3-10_2,bc1008--bc1035,99.15925589836661,2204,1562,Q60,3443899
3-10_3,bc1008--bc1044,99.29668073457283,8767,1540,Q57,13501987
3-10_4,bc1008--bc1045,99.59055517941773,5908,1533,Q60,9060803
3-10_5,bc1008--bc1054,99.44310966191865,5827,1530,Q60,8918625
3-10_6,bc1008--bc1056,99.55564999141212,1804870,1526,Q52,2755880766
3-10_7,bc1008--bc1057,99.18518518518519,135,1543,Q60,208404
3-10_8,bc1008--bc1059,99.57894736842105,10374,1527,Q53,15846142
am1,bc1008--bc1065,99.28316866619619,5668,1567,Q60,8883249
bm1,bc1008--bc1075,99.62167319473737,9957,1521,Q60,15150872
3-11_1,bc1012--bc1033,99.38576843556169,5804,1522,Q53,8833867
3-11_2,bc1012--bc1035,99.21088172872854,5183,1528,Q53,7919829
3-11_3,bc1012--bc1044,99.15859421145895,3386,1546,Q60,5236844
3-11_4,bc1012--bc1045,99.41309620048504,2474,1526,Q60,3776943
3-11_5,bc1012--bc1054,99.31893612184588,4399,1558,Q60,6855033
3-11_6,bc1012--bc1056,99.4012275224869,1197697,1522,Q60,1823667497
3-11_7,bc1012--bc1057,99.41782908449575,6237,1521,Q60,9489092
3-11_8,bc1012--bc1059,99.4300192561062,9867,1528,Q55,15079542
3-11_9,bc1012--bc1060,99.34538361508453,3845,1532,Q60,5890776
3-11_10,bc1012--bc1062,99.42515967786726,3601,1519,Q48,5472697
am4,bc1012--bc1065,99.472458647824,6227,1677,Q60,10446369
bm4,bc1012--bc1075,99.34545454545454,2200,1581,Q60,3478285
3-12_1,bc1015--bc1033,99.49316317228806,1097,1526,Q45,1674614
3-12_2,bc1015--bc1035,99.23671716029844,4423,1525,Q43,6748143
3-12_3,bc1015--bc1044,99.29611337771097,4657,1525,Q60,7103293
3-12_4,bc1015--bc1045,99.46494009866103,5676,1524,Q46,8653193
3-12_5,bc1015--bc1054,99.47176919645071,20173,1524,Q60,30759923
3-12_6,bc1015--bc1056,99.51500205507604,12165,1537,Q47,18699034
am6,bc1015--bc1065,99.54708155379296,19668,1637,Q60,32204791
bm6,bc1015--bc1075,99.58703203396372,5182,1501,Q60,7778573
3s-0,bc1020--bc1033,99.47368421052632,19,1492,Q60,28357
3s-3,bc1020--bc1035,99.23636363636363,220,1509,Q60,332113
am7,bc1020--bc1065,98.99689627007895,18365,1721,Q60,31616208
bm7,bc1020--bc1075,99.02261712439419,619,1822,Q60,1127894
am2,bc1022--bc1033,100.0,5,1490,Q42,7450
am3,bc1022--bc1035,99.30634573304158,457,1512,Q60,691008
am5,bc1022--bc1044,99.3889555822329,833,1513,Q60,1260375
am8,bc1022--bc1045,99.3076923076923,39,1488,Q60,58036
am9,bc1022--bc1054,99.40718562874251,167,1490,Q60,248884
am10,bc1022--bc1056,99.66797900262468,762,1513,Q60,1153212
bm2,bc1024--bc1033,99.65104166666667,4992,1507,Q60,7524550
bm3,bc1024--bc1035,99.28345481565353,56524,1511,Q60,85461530
bm5,bc1024--bc1044,99.42986880444911,67609,1515,Q60,102432387
bm8,bc1024--bc1045,99.60416666666667,2928,1508,Q60,4416999
bm9,bc1024--bc1054,99.52535101404057,2564,1520,Q60,3899408
bm10,bc1024--bc1056,99.54214206845786,2717,1629,Q60,4426251
eb-6,bc1024--bc1057,99.58429858429858,777,1526,Q60,1186218
No Name,Not Barcoded,0.0,214769,1589,Q54,341384780
