"Strain","present_first","present_only","present_second","absent_first","absent_only","absent_second","fishers_pval","fishers_pval_adj","fishers_sig"
"ESL0170",50,49,13,7,7,44,1.62918102116972e-12,2.96214731121768e-12,"***"
"ESL0183",55,55,3,1,2,55,1.13856111539304e-27,2.27712223078607e-26,"***"
"ESL0184",26,29,3,33,26,52,1.21082691224996e-06,1.42450224970583e-06,"***"
"ESL0185",55,53,15,2,3,42,8.92479277365564e-16,1.98328728303459e-15,"***"
"ESL0186",53,53,10,3,3,48,1.82218765346055e-18,7.28875061384221e-18,"***"
"ESL0198",56,52,15,2,4,41,6.40621414072722e-16,1.6015535351818e-15,"***"
"ESL0199",56,51,22,3,4,33,7.44676405945853e-11,1.14565600914747e-10,"***"
"ESL0200",43,45,2,14,12,55,1.99921929427744e-16,6.66406431425813e-16,"***"
"ESL0261",56,54,8,2,2,48,4.49070231155602e-21,2.99380154103735e-20,"***"
"ESL0263",56,56,53,1,0,4,0.36378856732839,0.36378856732839,"ns."
"ESL0295",39,39,24,20,15,31,0.0233864381679034,0.0259849312976704,"*"
"ESL0350",54,55,34,1,2,25,5.56079698953687e-08,6.95099623692109e-08,"***"
"ESL0394",54,55,52,1,3,7,0.0620907793486206,0.0653587151038111,"ns."
"ESL0819",46,48,6,11,7,51,1.37314701408013e-14,2.74629402816027e-14,"***"
"ESL0820",54,52,29,2,4,29,7.72397233038105e-09,1.10342461862586e-08,"***"
"ESL0822",50,52,8,7,4,49,5.86905787670843e-16,1.6015535351818e-15,"***"
"ESL0824",52,49,18,4,7,40,2.36671153065844e-12,3.94451921776407e-12,"***"
"ESL0825",56,54,30,2,2,26,3.75250666420222e-08,5.00334221893629e-08,"***"
"ESL0827",52,51,10,3,6,49,1.75675743386938e-18,7.28875061384221e-18,"***"
"ESL0835",56,54,4,2,1,52,6.53807154135717e-25,6.53807154135717e-24,"***"
